id,name,name_jp,name_ko,effect_entry,effect_entry_ko,effect_detail,introduced_generation_id
254,Wandering Spirit,さまようたましい,떠도는영혼,The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.,접촉하는 기술로 공격해 온 포켓몬과 특성을 바꾼다.,The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.,8
255,Gorilla Tactics,ごりむちゅう,무아지경,"Boosts the Pokémon's Attack stat, but only allows the use of the first selected move.",공격이 올라가지만 처음에 선택한 기술 외에는 쓸 수 없게 된다.,Boosts the Pokémon’s Attack stat but only allows the use of the first selected move.,8
256,Neutralizing Gas,かがくへんかガス,화학변화가스,"While the Pokémon is in the battle, the effects of all other Pokémon's Abilities will be nullified or will not be triggered.",화학변화가스를 가진 포켓몬이 배틀에 나와 있으면 모든 포켓몬이 가진 특성의 효과가 사라지거나 발동하지 않게 된다.,"While the Pokémon is in the battle, the effects of all other Pokémon’s Abilities will be nullified or will not be triggered.",8
257,Pastel Veil,パステルベール,파스텔베일,Prevents the Pokémon and its allies from being poisoned.,자신과 같은 편은 독 상태가 되지 않는다.,Prevents the Pokémon and its teammates from being poisoned. It also cures teammates of poisoning when it enters the battlefield.,8
258,Hunger Switch,はらぺこスイッチ,꼬르륵스위치,"The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of every turn.","턴이 끝날 때마다 배부른 모양, 배고픈 모양, 배부른 모양...으로 번갈아서 모습을 바꾼다.","The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of every turn.",8
259,Quick Draw,クイックドロウ,퀵드로,Enables the Pokémon to move first occasionally.,상대보다 먼저 행동할 수도 있다.,"If a Pokémon with this Ability selects a damaging move, it has a 30% chance of going first in its priority bracket.",8
260,Unseen Fist,ふかしのこぶし,보이지않는주먹,"If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself.",상대에게 접촉하는 기술을 사용하면 방어의 효과를 무시하고 공격할 수 있다.,"If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself.",8
261,Curious Medicine,きみょうなくすり,기묘한약,"When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies.",등장했을 때 조개껍질에서 약을 흩뿌려서 같은 편의 능력 변화를 원래대로 되돌린다.,"When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies.",8
262,Transistor,トランジスタ,트랜지스터,Powers up Electric-type moves.,전기타입 기술의 위력이 올라간다.,Increases the power of Electric-type moves used by this Pokémon by 50%.,8
263,Dragon's Maw,りゅうのあぎと,용의턱,Powers up Dragon-type moves.,드래곤타입 기술의 위력이 올라간다.,Increases the power of Dragon-type moves used by this Pokémon by 50%.,8
264,Chilling Neigh,しろのいななき,백의울음,"When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat.",상대를 쓰러뜨리면 차가운 울음소리를 내면서 공격이 올라간다.,"When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat.",8
265,Grim Neigh,くろのいななき,흑의울음,"When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat.",상대를 쓰러뜨리면 무서운 울음소리를 내면서 특수공격이 올라간다.,"When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat.",8
266,As One,じんばいったい,혼연일체,This Ability combines the effects of both Calyrex's Unnerve Ability and Glastrier's Chilling Neigh Ability.,버드렉스의 긴장감과 블리자포스의 백의울음 두 가지 특성을 겸비한다.,This Ability combines the effects of both Calyrex's Unnerve Ability and Glastrier's Chilling Neigh Ability.,8
267,As One,じんばいったい,혼연일체,This Ability combines the effects of both Calyrex's Unnerve Ability and Spectrier's Grim Neigh Ability.,버드렉스의 긴장감과 레이스포스의 흑의울음 두 가지 특성을 겸비한다.,This Ability combines the effects of both Calyrex's Unnerve Ability and Spectrier's Grim Neigh Ability.,8
268,Lingering Aroma,とれないにおい,가시지않는향기,Contact with the Pokémon changes the attacker's Ability to Lingering Aroma.,상대가 접촉하면 가시지 않는 향기가 상대에게 배어 버린다.,Contact with the Pokémon changes the attacker’s Ability to Lingering Aroma.,9
269,Seed Sower,こぼれダネ,넘치는씨,Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.,공격을 받으면 필드를 그래스필드로 만든다.,Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.,9
270,Thermal Exchange,ねつこうかん,열교환,Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned.,불꽃타입 기술로 공격받으면 공격이 올라간다. 화상 상태가 되지 않는다.,Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned.,9
271,Anger Shell,いかりのこうら,분노의껍질,"When an attack causes its HP to drop to half or less, the Pokémon gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats.","상대의 공격에 의해 HP가 절반이 되면 화가 나서 방어와 특수방어가 떨어지지만 공격, 특수공격, 스피드가 올라간다.","When an attack causes its HP to drop to half or less, the Pokémon gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats.",9
272,Purifying Salt,きよめのしお,정화의소금,The Pokémon's pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.,깨끗한 소금에 의해 상태 이상이 되지 않는다. 고스트타입 기술의 데미지를 반감시킨다.,The Pokémon’s pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.,9
273,Well-Baked Body,こんがりボディ,노릇노릇바디,"The Pokémon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted.",불꽃타입 기술로 공격받으면 데미지를 받지 않고 방어가 크게 올라간다.,"The Pokémon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted.",9
274,Wind Rider,かぜのり,바람타기,Boosts the Pokémon's Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves.,순풍이 불거나 바람 기술로 공격받으면 데미지를 받지 않고 공격이 올라간다.,Boosts the Pokémon’s Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves.,9
275,Guard Dog,ばんけん,파수견,Boosts the Pokémon's Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work.,위협을 받으면 공격이 올라간다. 포켓몬을 교체시키는 기술이나 도구의 효과를 받지 않는다.,Boosts the Pokémon’s Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work.,9
276,Rocky Payload,いわはこび,바위나르기,Powers up Rock-type moves.,바위타입 기술의 위력이 올라간다.,Increases the power of Rock-type moves used by this Pokémon by 50%.,9
277,Wind Power,ふうりょくでんき,풍력발전,"The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses.",바람 기술을 받으면 충전 상태가 된다.,"The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses.",9
278,Zero to Hero,マイティチェンジ,마이티체인지,The Pokémon transforms into its Hero Form when it switches out.,지닌 포켓몬으로 돌아오면 마이티폼으로 변한다,The Pokémon transforms into its Hero Form when it switches out.,9
279,Commander,しれいとう,사령탑,"When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there.",등장했을 때 같은 편에 어써러셔가 있으면 입속에 들어가 안에서 지시를 내린다.,"When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there.",9
280,Electromorphosis,でんきにかえる,전기로바꾸기,"The Pokémon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokémon uses.",데미지를 받으면 충전 상태가 된다.,"The Pokémon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokémon uses.",9
281,Protosynthesis,こだいかっせい,고대활성,Boosts the Pokémon's most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.,부스트에너지를 지니고 있거나 날씨가 맑을 때 가장 높은 능력이 올라간다.,Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.,9
282,Quark Drive,クォークチャージ,쿼크차지,Boosts the Pokémon's most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.,부스트에너지를 지니고 있거나 일렉트릭필드일 때 가장 높은 능력이 올라간다.,Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.,9
283,Good as Gold,おうごんのからだ,황금몸,"A body of pure, solid gold gives the Pokémon full immunity to other Pokémon's status moves.",산화하지 않는 튼튼한 황금몸 덕분에 상대의 변화 기술의 영향을 받지 않는다.,"A body of pure, solid gold gives the Pokémon full immunity to other Pokémon’s status moves.",9
284,Vessel of Ruin,わざわいのうつわ,재앙의그릇,The power of the Pokémon's ruinous vessel lowers the Sp. Atk stats of all Pokémon except itself.,이 특성을 가진 포켓몬을 제외한 모든 포켓몬의 특수공격을 약하게 만든다.,The power of the Pokémon’s ruinous vessel lowers the Sp. Atk stats of all Pokémon except itself.,9
285,Sword of Ruin,わざわいのつるぎ,재앙의검,The power of the Pokémon's ruinous sword lowers the Defense stats of all Pokémon except itself.,이 특성을 가진 포켓몬을 제외한 모든 포켓몬의 방어를 약하게 만든다.,The power of the Pokémon’s ruinous sword lowers the Defense stats of all Pokémon except itself.,9
286,Tablets of Ruin,わざわいのおふだ,재앙의목간,The power of the Pokémon's ruinous wooden tablets lowers the Attack stats of all Pokémon except itself.,이 특성을 가진 포켓몬을 제외한 모든 포켓몬의 공격을 약하게 만든다.,The power of the Pokémon’s ruinous wooden tablets lowers the Attack stats of all Pokémon except itself.,9
287,Beads of Ruin,わざわいのたま,재앙의구슬,The power of the Pokémon's ruinous beads lowers the Sp. Def stats of all Pokémon except itself.,이 특성을 가진 포켓몬을 제외한 모든 포켓몬의 특수방어를 약하게 만든다.,The power of the Pokémon’s ruinous beads lowers the Sp. Def stats of all Pokémon except itself.,9
288,Orichalcum Pulse,ひひいろのこどう,진홍빛고동,Turns the sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack stat in harsh sunlight.,등장했을 때 날씨를 맑음으로 만든다. 햇살이 강하면 고대의 고동에 의해 공격이 강화된다.,"Turns the sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack stat in harsh sunlight. If the weather is extremely harsh sunlight, heavy rain, or mysterious air current, this ability will not be activated.",9
289,Hadron Engine,ハドロンエンジン,하드론엔진,Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Sp. Atk stat on Electric Terrain.,등장했을 때 일렉트릭필드를 전개한다. 일렉트릭필드일 때 미래 기관에 의해 특수공격이 강화된다.,Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Sp. Atk stat on Electric Terrain.,9
290,Opportunist,びんじょう,편승,"If an opponent's stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself.",상대의 능력이 올라가면 자신도 편승해서 똑같이 능력을 올린다.,"If an opponent’s stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself.",9
291,Cud Chew,はんすう,되새김질,"When the Pokémon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time.",한 번에 한하여 나무열매를 먹으면 다음 턴이 끝날 때 위에서 꺼내서 또 먹는다.,"When the Pokémon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time.",9
292,Sharpness,きれあじ,예리함,Powers up slicing moves.,상대를 베는 기술의 위력이 올라간다.,Increases the power of all 'slicing' moves by 50%.,9
293,Supreme Overlord,そうだいしょう,총대장,"When the Pokémon enters a battle, its Attack and Sp. Atk stats are slightly boosted for each of the allies in its party that have already been defeated.",등장했을 때 지금까지 쓰러진 같은 편의 수가 많을수록 조금씩 공격과 특수공격이 올라간다.,"When the Pokémon enters a battle, its Attack and Sp. Atk stats are slightly boosted for each of the allies in its party that have already been defeated.",9
294,Costar,きょうえん,협연,"When the Pokémon enters a battle, it copies an ally's stat changes.",등장했을 때 같은 편의 능력 변화를 복사한다.,"When the Pokémon enters a battle, it copies an ally’s stat changes.",9
295,Toxic Debris,どくげしょう,독치장,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.,물리 기술로 데미지를 받으면 상대의 발밑에 독압정을 뿌린다.,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.,9
296,Armor Tail,テイルアーマー,테일아머,The mysterious tail covering the Pokémon's head makes opponents unable to use priority moves against the Pokémon or its allies.,머리를 감싸고 있는 수수께끼의 꼬리가 이쪽을 향한 선제 기술을 사용할 수 없게 한다.,The mysterious tail covering the Pokémon’s head makes opponents unable to use priority moves against the Pokémon or its allies.,9
297,Earth Eater,どしょく,흙먹기,"If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage.",땅타입의 기술로 공격받으면 데미지를 받지 않고 회복한다.,"If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage.",9
298,Mycelium Might,きんしのちから,균사의힘,"The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target.",변화 기술을 사용할 때 반드시 행동이 느려지지만 상대 특성에 방해받지 않는다.,"The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target.",9
299,Hospitality,おもてなし,대접,"When the Pokémon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP.",등장했을 때 같은 편을 대접해서 HP를 조금 회복시킨다.,"When the Pokémon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP.",9
300,Mind's Eye,しんがん,심안,"The Pokémon ignores changes to opponents' evasiveness, its accuracy can't be lowered, and it can hit Ghost types with Normal- and Fighting-type moves.",노말타입과 격투타입 기술을 고스트타입에게 맞힐 수 있다. 상대의 회피율 변화를 무시하고 명중률도 떨어지지 않는다.,Mind's Eye enables the Pokémon with this Ability to hit Ghost-type Pokémon with damage-dealing Normal- and Fighting-type moves. It also prevents other Pokémon from lowering the Pokémon's accuracy and ignores changes to the opponents' evasion.,9
301,Embody Aspect,おもかげやどし,초상투영,"The Pokémon's heart fills with memories, causing the Mask to shine and one of the Pokémon's Speed stat to be boosted.",마음속에 깃든 추억의 힘으로 가면을 빛나게 하여 자신의 스피드를 올린다.,"The Pokémon's heart fills with memories, causing the Mask to shine and one of the Pokémon's Speed stat to be boosted.",9
302,Embody Aspect,おもかげやどし,초상투영,"The Pokémon's heart fills with memories, causing the Mask to shine and one of the Pokémon's Attack stat to be boosted.",마음속에 깃든 추억의 힘으로 가면을 빛나게 하여 자신의 공격을 올린다.,"The Pokémon's heart fills with memories, causing the Mask to shine and one of the Pokémon's Attack stat to be boosted.",9
303,Embody Aspect,おもかげやどし,초상투영,"The Pokémon's heart fills with memories, causing the Mask to shine and one of the Pokémon's Sp.Def stat to be boosted.",마음속에 깃든 추억의 힘으로 가면을 빛나게 하여 자신의 특수방어를 올린다.,"The Pokémon's heart fills with memories, causing the Mask to shine and one of the Pokémon's Sp.Def stat to be boosted.",9
304,Embody Aspect,おもかげやどし,초상투영,"The Pokémon's heart fills with memories, causing the Mask to shine and one of the Pokémon's Defense stat to be boosted.",마음속에 깃든 추억의 힘으로 가면을 빛나게 하여 자신의 방어를 올린다.,"The Pokémon's heart fills with memories, causing the Mask to shine and one of the Pokémon's Defense stat to be boosted.",9
305,Toxic Chain,どくのくさり,독사슬,The power of the Pokémon's toxic chain may badly poison any target the Pokémon hits with a move.,"공격을 맞히면, 상대를 맹독 상태로 만들 때가 있다.",The power of the Pokémon's toxic chain may badly poison any target the Pokémon hits with a move.,9
306,Supersweet Syrup,かんろなミツ,감미로운꿀,"A sickly sweet scent spreads across the field the first time the Pokémon enters a battle, lowering the evasiveness of opposing Pokémon.",등장했을 때 상대의 회피율을 떨어뜨린다.,"A sickly sweet scent spreads across the field the first time the Pokémon enters a battle, lowering the evasiveness of opposing Pokémon.",9
307,Tera Shift,テラスチェンジ,테라체인지,"When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form.",등장했을 때 주위의 에너지를 흡수하여 테라스탈폼으로 변화한다.,"When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form.",9
308,Tera Shell,テラスシェル,테라셸,The Pokémon's shell contains the powers of each type. All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective.,모든 타입의 힘이 담긴 등껍질이 HP가 꽉 찼을 때 받는 데미지를 모두 효과가 별로이게 만든다.,The Pokémon’s shell contains the powers of each type. All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective.,9
309,Teraform Zero,ゼロフォーミング,제로포밍,"When Terapagos changes into its Stellar Form, it uses its hidden powers to eliminate all effects of weather and terrain, reducing them to zero.",테라파고스가 스텔라폼이 되었을 때 숨겨진 힘에 의해 날씨와 필드의 영향을 모두 무효로 만든다.,"When Terapagos changes into its Stellar Form, it uses its hidden powers to eliminate all effects of weather and terrain, reducing them to zero.",9
310,Poison Puppeteer,どくくぐつ,독조종,Pokémon poisoned by Pecharunt's moves will also become confused.,복숭악동의 기술에 의해 독 상태가 된 상대는 혼란 상태도 되어 버린다.,"When a Pokémon is poisoned by any of Pecharunt's moves, it will also become confused.",9
